wallet,total_abit,total_wei,claims,cartridges,first_claim_at,last_claim_at
0x63d0dd603edbaf1356579c70dfed714b15d42be1,1266,1266446744073709551614,24,3,2025-10-01T20:59:59.999Z,2025-10-02T03:02:36.431Z
0x367e6c654f6151f770513b1cad45523f39f24951,1178,1178446744073709551614,20,2,2025-10-01T22:20:00.001Z,2025-10-02T03:02:36.431Z
0x62019def3369d46e3011b213f99a3f2819448b45,1104,1104000000000000000000,16,1,2025-10-01T20:40:00.000Z,2025-10-01T20:40:00.000Z
0x3c30b2075421982bfc240a0433b831da047bcd0d,1058,1058446744073709551614,17,3,2025-10-01T20:15:51.863Z,2025-10-03T11:59:09.423Z
0xaa6894d3ae2fa7663424cd50152a2aec32e09224,928,928000000000000000000,10,2,2025-10-03T13:50:00.003Z,2025-10-03T17:30:00.004Z
0x6a4675f2748ae34dc5b6119b5db6c0324328ac69,832,832000000000000000000,12,1,2025-10-01T20:40:00.000Z,2025-10-01T20:50:00.000Z
0x7686afe323746477d23aef2ec5562333ea7c62fe,800,800000000000000000000,16,2,2025-10-02T10:00:00.003Z,2025-10-03T14:10:00.003Z
0xb2dbaf0baa2fe4f8e1812e935348dc0e2ca54eea,800,800000000000000000000,8,1,2025-10-01T20:05:41.156Z,2025-10-01T20:15:51.863Z
0x930bdbbe894588892690782862080c8c36f4e106,634,634446744073709551614,11,2,2025-10-01T20:09:59.999Z,2025-10-03T03:10:00.002Z
0x80d5e83402439d0aa2ed745b6532c5872d735ba8,596,596000000000000000000,8,2,2025-10-01T23:00:00.001Z,2025-10-02T04:20:00.002Z
0xfdaa3c0d61dd8160767fa110fdbbf54978e20b36,576,576000000000000000000,8,2,2025-10-01T20:09:59.999Z,2025-10-03T09:50:00.003Z
0xa047fee366303646706c9022e1c868330d2584ab,568,568000000000000000000,9,1,2025-10-01T20:09:59.999Z,2025-10-01T20:15:51.863Z
0x22ce6ce6fc3217f70d5059a141ffbb693e26bf24,530,530446744073709551614,12,2,2025-10-01T20:09:59.999Z,2025-10-02T03:02:36.431Z
0x7f5e0dd656d1cf9d93e05873ae16a5f3665fd985,498,498446744073709551614,8,2,2025-10-01T20:09:59.999Z,2025-10-02T03:02:36.431Z
0x673920e96fee7556d84f2214f1aa02df786112e2,482,482446744073709551614,8,3,2025-10-01T20:50:00.000Z,2025-10-02T03:02:36.431Z
0xfdaee6ab7117c152ed8205443096793aa117f4b7,456,456000000000000000000,5,2,2025-10-02T05:30:00.002Z,2025-10-02T05:50:00.003Z
0xe00d6403b404e17890139c4411eddb736e32c48e,440,440000000000000000000,5,1,2025-10-03T17:00:00.004Z,2025-10-03T17:00:00.004Z
0x9ec47661d8b3544ace1a087d7798b63074d9354d,410,410446744073709551614,9,2,2025-10-01T20:59:59.999Z,2025-10-02T03:02:36.431Z
0x46c2e6efceb9b4d7f92e300b8e0580d1943ce29b,392,392000000000000000000,5,1,2025-10-01T20:15:51.863Z,2025-10-01T20:15:51.863Z
0x8af45c5fa75f81919093667307689e9ae18437a1,376,376000000000000000000,8,2,2025-10-01T22:10:25.313Z,2025-10-02T03:50:00.001Z
0x13b2883b6755ffc3f1a78ccf9a6bc57a68611e77,354,354446744073709551614,10,3,2025-10-01T23:10:00.002Z,2025-10-03T05:30:00.003Z
0xed0ab3c098e0a22026f845f260355e80aaf88617,336,336000000000000000000,6,3,2025-10-01T22:30:00.001Z,2025-10-02T16:20:08.629Z
0xdca535fe0c41e0054d2505a164650fa2f9387deb,314,314446744073709551614,5,2,2025-10-01T20:30:00.000Z,2025-10-02T03:02:36.431Z
0x3ffe5433b896ae09c489e9c5949764c3c6719ee9,298,298446744073709551614,5,2,2025-10-01T22:00:00.001Z,2025-10-02T03:02:36.431Z
0x0a5eec439c9eafb8f93941a7d1b7857636af12e9,288,288000000000000000000,4,2,2025-10-02T10:10:00.004Z,2025-10-02T10:50:00.005Z
0x92654a6ef46119be845eb18dbcf7880471162de7,280,280000000000000000000,4,1,2025-10-03T13:30:00.003Z,2025-10-03T13:30:00.003Z
0xec6dc44d9a268db8d0160c80a64a2ab36f669d56,266,266446744073709551614,6,3,2025-10-01T20:05:41.156Z,2025-10-02T03:02:36.431Z
0x29d128aba6746496b654f2d6d8ccf52f0bb6fb71,258,258446744073709551614,8,3,2025-10-01T22:10:25.313Z,2025-10-02T03:02:36.431Z
0xb38a122e1b91cb8574348e7db8b6361c3ba25693,256,256000000000000000000,6,1,2025-10-01T22:30:00.001Z,2025-10-01T22:40:00.001Z
0x49cfb6c8bb3a056a9d64f74f5df28befe9873320,248,248000000000000000000,3,1,2025-10-02T16:20:08.629Z,2025-10-02T16:20:08.629Z
0x019b0ee245fb09aaf92ac93ca3309832b7974681,234,234446744073709551614,4,2,2025-10-01T22:30:00.001Z,2025-10-02T03:02:36.431Z
0x0aeda7f7db7339a36eddfd735bc05738e3567288,226,226446744073709551614,4,2,2025-10-01T22:50:00.002Z,2025-10-02T03:02:36.431Z
0x30acf55fa7564b150bb09236af1d614158e5be7f,130,130446744073709551614,4,2,2025-10-01T20:40:00.000Z,2025-10-02T03:02:36.431Z
0xab774da589720baf763808daaeb75eccc6f61b05,98,98446744073709551614,3,2,2025-10-01T23:10:00.002Z,2025-10-02T03:02:36.431Z
0x00cdcb9086bc849717979769a669af20e615980d,82,82446744073709551614,4,2,2025-10-01T20:09:59.999Z,2025-10-02T03:02:36.431Z
0x270b044da3593d82fa00ed5d439ecbfdceb0f9e4,82,82446744073709551614,3,2,2025-10-01T22:50:00.002Z,2025-10-02T03:02:36.431Z
0x512d32436a1ef2b3c47e9346dcc5f1a216088563,80,80000000000000000000,1,1,2025-10-01T22:00:00.001Z,2025-10-01T22:00:00.001Z
0xfc435dd98ad70238a5ba8b3cf37a1458ab10f6e5,74,74446744073709551614,3,2,2025-10-01T20:15:51.863Z,2025-10-02T03:02:36.431Z
0xc071aa393e6221f3bf9f5c1917b95a5f3c2b44f3,72,72000000000000000000,1,1,2025-10-03T16:40:00.004Z,2025-10-03T16:40:00.004Z
0xbf57fc1d6c6b20f8135ea337fd4cc7cdb390c3d1,32,32000000000000000000,1,1,2025-10-02T09:40:00.004Z,2025-10-02T09:40:00.004Z
0x3ef4962ea02feec3f550a2038759bd49dfec12f0,12,12000000000000000000,2,1,2025-10-02T02:51:36.834Z,2025-10-02T03:02:36.431Z
